Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G43 1FD,Yes,55.825141,-4.295858,256275,661484,NS562614,5/1/2019 12:00:00 AM,,21,,,"Pollokshaws West",0.4,"",""
G43 1FE,Yes,55.825411,-4.295842,256277,661514,NS562615,5/1/2019 12:00:00 AM,,22,,,"Pollokshaws West",0.4,"",""
G43 1FF,Yes,55.825291,-4.295515,256297,661500,NS562614,5/1/2019 12:00:00 AM,,22,,,"Pollokshaws West",0.4,"",""
G43 1HA,Yes,55.814005,-4.307171,255525,660268,NS555602,1/1/1980 12:00:00 AM,,31,69,34,"Thornliebank",0.4,"",""
G43 1HB,No,55.814183,-4.30774,255490,660289,NS554602,12/1/1990 12:00:00 AM,6/1/1996 12:00:00 AM,28,,,"Thornliebank",0.4,"",""
G43 1HH,Yes,55.814828,-4.307379,255515,660360,NS555603,1/1/1980 12:00:00 AM,,27,66,29,"Thornliebank",0.5,"",""
G43 1HJ,Yes,55.814159,-4.307627,255497,660286,NS554602,1/1/1980 12:00:00 AM,,28,104,52,"Thornliebank",0.4,"",""
G43 1HL,Yes,55.814849,-4.308673,255434,660365,NS554603,1/1/1980 12:00:00 AM,,24,11,7,"Thornliebank",0.5,"",""
G43 1HN,Yes,55.815377,-4.308036,255476,660423,NS554604,1/1/1980 12:00:00 AM,,25,16,11,"Thornliebank",0.5,"",""
G43 1HP,Yes,55.815569,-4.309578,255380,660447,NS553604,1/1/1980 12:00:00 AM,,22,46,25,"Thornliebank",0.5,"",""
G43 1HQ,Yes,55.813662,-4.308204,255459,660232,NS554602,1/1/1980 12:00:00 AM,,29,21,12,"Thornliebank",0.4,"",""
G43 1HR,Yes,55.820389,-4.302233,255858,660968,NS558609,1/1/1980 12:00:00 AM,,24,94,59,"Pollokshaws West",0.4,"",""
G43 1HW,Yes,55.814774,-4.309323,255393,660358,NS553603,1/1/1980 12:00:00 AM,,22,52,24,"Thornliebank",0.4,"",""
G43 1HX,Yes,55.815323,-4.308813,255427,660418,NS554604,1/1/1980 12:00:00 AM,,23,44,17,"Thornliebank",0.5,"",""
G43 1HY,Yes,55.815785,-4.309575,255381,660471,NS553604,1/1/1980 12:00:00 AM,,23,9,5,"Thornliebank",0.5,"",""
G43 1HZ,Yes,55.816529,-4.309667,255378,660554,NS553605,1/1/1980 12:00:00 AM,,23,50,37,"Thornliebank",0.6,"",""
G43 1JA,Yes,55.816161,-4.308208,255468,660510,NS554605,1/1/1980 12:00:00 AM,,24,25,12,"Thornliebank",0.6,"",""
G43 1JD,Yes,55.817164,-4.3079,255491,660621,NS554606,1/1/1980 12:00:00 AM,,23,56,19,"Thornliebank",0.7,"",""
G43 1JE,Yes,55.817138,-4.307404,255522,660617,NS555606,1/1/1980 12:00:00 AM,,24,41,16,"Thornliebank",0.7,"",""
G43 1JF,Yes,55.817455,-4.304837,255684,660647,NS556606,1/1/1980 12:00:00 AM,,25,105,52,"Pollokshaws West",0.7,"",""
G43 1JG,Yes,55.816833,-4.304481,255704,660577,NS557605,1/1/1980 12:00:00 AM,,28,24,10,"Thornliebank",0.8,"",""
G43 1JH,Yes,55.816154,-4.30476,255684,660502,NS556605,1/1/1980 12:00:00 AM,,31,20,6,"Thornliebank",0.7,"",""
