Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G51 2BP,No,55.860251,-4.309832,255530,665419,NS555654,8/1/1973 12:00:00 AM,3/1/1977 12:00:00 AM,8,,,"Partick",1.1,"",""
G51 2BQ,Yes,55.858753,-4.310784,255465,665255,NS554652,5/1/2006 12:00:00 AM,,7,0,0,"Partick",1.2,"",""
G51 2BS,No,55.858858,-4.309814,255526,665264,NS555652,1/1/1980 12:00:00 AM,8/1/2010 12:00:00 AM,7,,,"Partick",1.2,"",""
G51 2BT,Yes,55.856187,-4.30098,256069,664949,NS560649,1/1/1980 12:00:00 AM,,9,,,"Exhibition Centre Glasgow",1.2,"",""
G51 2BU,No,55.859039,-4.309233,255563,665283,NS555652,1/1/1980 12:00:00 AM,8/1/2010 12:00:00 AM,7,,,"Partick",1.2,"",""
G51 2BW,Yes,55.859309,-4.301547,256045,665297,NS560652,4/1/1989 12:00:00 AM,,9,26,19,"Exhibition Centre Glasgow",1.1,"",""
G51 2BX,Yes,55.861191,-4.308578,255612,665521,NS556655,8/1/2009 12:00:00 AM,,7,0,0,"Partick",1.0,"",""
G51 2BY,No,55.861191,-4.308578,255612,665521,NS556655,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,7,,,"Partick",1.0,"",""
G51 2BZ,Yes,55.860471,-4.308167,255635,665440,NS556654,1/1/1980 12:00:00 AM,,9,101,44,"Partick",1.0,"",""
G51 2DA,Yes,55.860895,-4.308992,255585,665489,NS555654,1/1/1980 12:00:00 AM,,8,27,21,"Partick",1.0,"",""
G51 2DB,Yes,55.85982,-4.308353,255621,665368,NS556653,1/1/1980 12:00:00 AM,,8,14,6,"Partick",1.1,"",""
G51 2DD,Yes,55.860208,-4.307289,255689,665409,NS556654,1/1/2013 12:00:00 AM,,8,,,"Partick",1.1,"",""
G51 2DE,No,55.855879,-4.306217,255740,664925,NS557649,6/1/1996 12:00:00 AM,6/1/1998 12:00:00 AM,9,,,"Dumbreck",1.3,"",""
G51 2DF,No,55.859429,-4.305725,255784,665319,NS557653,1/1/1980 12:00:00 AM,12/1/2010 12:00:00 AM,8,,,"Partick",1.2,"",""
G51 2DG,No,55.860156,-4.304825,255843,665398,NS558653,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,9,,,"Partick",1.1,"",""
G51 2DH,Yes,55.860022,-4.304274,255877,665382,NS558653,1/1/1980 12:00:00 AM,,9,50,38,"Partick",1.1,"",""
G51 2DJ,Yes,55.859068,-4.30484,255838,665277,NS558652,1/1/1980 12:00:00 AM,,8,12,6,"Partick",1.2,"",""
G51 2DL,No,55.85847,-4.304134,255880,665209,NS558652,8/1/1973 12:00:00 AM,12/1/1995 12:00:00 AM,8,,,"Partick",1.3,"",""
G51 2DN,Yes,55.858612,-4.306651,255723,665230,NS557652,1/1/1980 12:00:00 AM,,8,71,27,"Partick",1.3,"",""
G51 2DP,No,55.855582,-4.311952,255380,664904,NS553649,1/1/1980 12:00:00 AM,10/1/2007 12:00:00 AM,9,,,"Dumbreck",1.4,"",""
G51 2DQ,Yes,55.859437,-4.30483,255840,665318,NS558653,1/1/1980 12:00:00 AM,,8,87,49,"Partick",1.2,"",""
