Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G31 2EN,No,55.861219,-4.21816,261270,665339,NS612653,5/1/1993 12:00:00 AM,2/1/1995 12:00:00 AM,47,,,"Duke Street",0.4,"",""
G31 2EY,No,55.863919,-4.227903,260670,665659,NS606656,1/1/1980 12:00:00 AM,6/1/1997 12:00:00 AM,49,,,"Bellgrove",0.8,"",""
G31 2GA,Yes,55.865054,-4.228751,260621,665787,NS606657,2/1/2007 12:00:00 AM,,47,125,72,"High Street",0.9,"",""
G31 2GD,Yes,55.865005,-4.227486,260700,665779,NS607657,7/1/2007 12:00:00 AM,,46,69,43,"Bellgrove",0.9,"",""
G31 2HA,Yes,55.86336,-4.225236,260835,665592,NS608655,11/1/2003 12:00:00 AM,,43,134,70,"Bellgrove",0.7,"",""
G31 2HB,Yes,55.863813,-4.225276,260834,665642,NS608656,6/1/2003 12:00:00 AM,,44,133,75,"Bellgrove",0.8,"",""
G31 2HD,Yes,55.862621,-4.222365,261012,665504,NS610655,1/1/1980 12:00:00 AM,,49,0,0,"Bellgrove",0.7,"",""
G31 2HE,Yes,55.863386,-4.221576,261064,665587,NS610655,1/1/1980 12:00:00 AM,,50,45,23,"Alexandra Parade",0.7,"",""
G31 2HF,Yes,55.864369,-4.225883,260798,665705,NS607657,1/1/1980 12:00:00 AM,,45,4,2,"Bellgrove",0.9,"",""
G31 2HG,Yes,55.86363,-4.226464,260759,665624,NS607656,6/1/1996 12:00:00 AM,,45,102,0,"Bellgrove",0.8,"",""
G31 2HH,No,55.863919,-4.227903,260670,665659,NS606656,8/1/1973 12:00:00 AM,12/1/1994 12:00:00 AM,49,,,"Bellgrove",0.8,"",""
G31 2HJ,Yes,55.86461,-4.224938,260858,665730,NS608657,12/1/2002 12:00:00 AM,,44,137,75,"Bellgrove",0.9,"",""
G31 2HL,Yes,55.863919,-4.227407,260701,665658,NS607656,9/1/2005 12:00:00 AM,,48,49,30,"Bellgrove",0.8,"",""
G31 2HP,Yes,55.859788,-4.226739,260728,665197,NS607651,3/1/1982 12:00:00 AM,,30,64,33,"Bellgrove",0.4,"",""
G31 2HQ,Yes,55.86436,-4.227832,260676,665708,NS606657,8/1/2005 12:00:00 AM,,47,131,79,"Bellgrove",0.9,"",""
G31 2HS,Yes,55.85916,-4.224163,260887,665122,NS608651,1/1/1980 12:00:00 AM,,34,27,14,"Bellgrove",0.3,"",""
G31 2HU,Yes,55.859158,-4.222772,260974,665119,NS609651,1/1/1980 12:00:00 AM,,35,37,13,"Bellgrove",0.3,"",""
