Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G11 7LN,Yes,55.877376,-4.317261,255129,667340,NS551673,1/1/1980 12:00:00 AM,,26,14,4,"Hyndland",0.3,"",""
G11 7LP,Yes,55.878289,-4.317459,255120,667442,NS551674,1/1/1980 12:00:00 AM,,25,22,10,"Hyndland",0.2,"",""
G11 7LQ,Yes,55.876359,-4.318287,255061,667229,NS550672,1/1/1980 12:00:00 AM,,28,7,2,"Hyndland",0.4,"",""
G11 7LR,Yes,55.878178,-4.316669,255169,667428,NS551674,1/1/1980 12:00:00 AM,,23,16,7,"Hyndland",0.2,"",""
G11 7LS,Yes,55.876796,-4.317034,255141,667275,NS551672,1/1/1980 12:00:00 AM,,25,49,23,"Hyndland",0.4,"",""
G11 7LT,No,55.875405,-4.320277,254933,667127,NS549671,12/1/1990 12:00:00 AM,6/1/2000 12:00:00 AM,35,,,"Hyndland",0.6,"",""
G11 7LW,Yes,55.877985,-4.317873,255093,667409,NS550674,1/1/1980 12:00:00 AM,,27,34,17,"Hyndland",0.3,"",""
G11 7LX,Yes,55.874058,-4.327024,254506,666992,NS545669,3/1/1983 12:00:00 AM,,12,2,1,"Jordanhill",1.0,"",""
G11 7LZ,No,55.874072,-4.327071,254503,666993,NS545669,3/1/2009 12:00:00 AM,5/1/2009 12:00:00 AM,12,,,"Jordanhill",1.0,"",""
G11 7NA,Yes,55.876124,-4.323117,254758,667213,NS547672,1/1/1980 12:00:00 AM,,25,56,31,"Hyndland",0.7,"",""
G11 7NB,Yes,55.876189,-4.32205,254825,667218,NS548672,1/1/1980 12:00:00 AM,,28,56,33,"Hyndland",0.6,"",""
G11 7ND,Yes,55.876128,-4.321007,254890,667209,NS548672,1/1/1980 12:00:00 AM,,29,60,35,"Hyndland",0.6,"",""
G11 7NE,Yes,55.875296,-4.323164,254752,667121,NS547671,1/1/1980 12:00:00 AM,,27,68,54,"Hyndland",0.7,"",""
G11 7NF,Yes,55.875296,-4.323164,254752,667121,NS547671,1/1/1980 12:00:00 AM,,27,83,48,"Hyndland",0.7,"",""
G11 7NG,Yes,55.875491,-4.321897,254832,667140,NS548671,1/1/1980 12:00:00 AM,,35,82,54,"Hyndland",0.7,"",""
G11 7NH,No,55.874483,-4.322939,254763,667030,NS547670,1/1/1980 12:00:00 AM,4/1/2009 12:00:00 AM,27,,,"Hyndland",0.8,"",""
G11 7NJ,Yes,55.873406,-4.323307,254736,666911,NS547669,1/1/1980 12:00:00 AM,,20,73,53,"Hyndland",0.9,"",""
G11 7NL,Yes,55.873406,-4.323307,254736,666911,NS547669,1/1/1980 12:00:00 AM,,20,68,47,"Hyndland",0.9,"",""
G11 7NN,Yes,55.872919,-4.321967,254818,666854,NS548668,1/1/1980 12:00:00 AM,,22,78,47,"Hyndland",0.9,"",""
G11 7NP,Yes,55.873725,-4.322111,254812,666944,NS548669,1/1/1980 12:00:00 AM,,28,77,53,"Hyndland",0.8,"",""
G11 7NQ,Yes,55.875491,-4.321897,254832,667140,NS548671,1/1/1980 12:00:00 AM,,33,71,48,"Hyndland",0.7,"",""
G11 7NR,Yes,55.873725,-4.322111,254812,666944,NS548669,1/1/1980 12:00:00 AM,,28,77,47,"Hyndland",0.8,"",""
G11 7NS,No,55.875759,-4.317676,255097,667161,NS550671,5/1/2007 12:00:00 AM,5/1/2013 12:00:00 AM,25,,,"Hyndland",0.5,"",""
G11 7NT,No,55.874379,-4.319848,254956,667012,NS549670,12/1/1996 12:00:00 AM,8/1/1997 12:00:00 AM,39,,,"Hyndland",0.7,"",""
G11 7NU,Yes,55.874626,-4.322677,254780,667046,NS547670,10/1/2016 12:00:00 AM,,24,,,"Hyndland",0.8,"",""
G11 7NW,Yes,55.872919,-4.321967,254818,666854,NS548668,1/1/1980 12:00:00 AM,,22,83,50,"Hyndland",0.9,"",""
G11 7PA,No,55.875443,-4.315883,255208,667122,NS552671,2/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,23,,,"Hyndland",0.5,"",""
G11 7PB,No,55.875443,-4.315883,255208,667122,NS552671,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,23,,,"Hyndland",0.5,"",""
G11 7PD,Yes,55.875238,-4.317213,255124,667102,NS551671,1/1/1980 12:00:00 AM,,29,76,21,"Hyndland",0.5,"",""
