Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G2 6EB,No,55.860646,-4.25998,258651,665360,NS586653,9/1/1986 12:00:00 AM,7/1/1992 12:00:00 AM,30,,,"Glasgow Central",0.2,"",""
G2 6ED,No,55.859548,-4.260572,258610,665239,NS586652,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,24,,,"Glasgow Central",0.2,"",""
G2 6EE,No,55.860646,-4.25998,258651,665360,NS586653,1/1/2002 12:00:00 AM,3/1/2002 12:00:00 AM,30,,,"Glasgow Central",0.2,"",""
G2 6EF,No,55.859439,-4.26015,258636,665226,NS586652,1/1/1980 12:00:00 AM,6/1/2005 12:00:00 AM,23,,,"Glasgow Central",0.2,"",""
G2 6EG,No,55.860646,-4.25998,258651,665360,NS586653,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,30,,,"Glasgow Central",0.2,"",""
G2 6EH,No,55.860646,-4.25998,258651,665360,NS586653,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,30,,,"Glasgow Central",0.2,"",""
G2 6EJ,No,55.860646,-4.25998,258651,665360,NS586653,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,30,,,"Glasgow Central",0.2,"",""
G2 6EL,No,55.859439,-4.26015,258636,665226,NS586652,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,23,,,"Glasgow Central",0.2,"",""
G2 6EN,No,55.859548,-4.260572,258610,665239,NS586652,8/1/1973 12:00:00 AM,12/1/1994 12:00:00 AM,24,,,"Glasgow Central",0.2,"",""
G2 6EQ,No,55.859276,-4.260716,258600,665209,NS586652,8/1/1973 12:00:00 AM,5/1/1977 12:00:00 AM,22,,,"Glasgow Central",0.2,"",""
G2 6ER,No,55.868634,-4.241903,259811,666212,NS598662,9/1/1986 12:00:00 AM,4/1/2006 12:00:00 AM,48,,,"Glasgow Queen Street",0.9,"",""
